NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ELIA GROUP,BE0003822393,,,,,723863.0,881127.0,863348.0,829837.0,905860.0,1023524.0,931054.0,1003037.0,1272362.0,1573420.0,1644233.0,1801781.0,891142.0,869342.0,855126.0,1018528.0,2069955.0,2458477.0,2657176.0,2920121.0,3866409.0,4133722.0
COLRUYT GROUP,BE0974256852,2134930.0,1998481.0,2104045.0,2333494.0,3314210.0,4344771.0,5494988.0,5422209.0,6501783.0,7796450.0,7780550.0,8927261.0,9467621.0,10004365.0,10826764.0,11572119.0,10002232.0,10081963.0,9925170.0,11427678.0,10410758.0,10482432.0,11844491.0,11356229.0,11050167.0,11239773.0
BEKAERT (D),BE0974258874,1994011.0,1726290.0,1637995.0,1561537.0,2016605.0,2284488.0,2788444.0,2287950.0,2615900.0,3152516.0,3421890.0,3332057.0,4418389.0,4422786.0,4633609.0,4338476.0,3648196.0,4091047.0,3970727.0,5038238.0,4889025.0,4739171.0,4536505.0,5539289.0,6043178.0,4655780.0
AGEAS (EX-FORTIS),BE0974264930,39763694.0,38972369.0,47160389.0,41982344.0,54119452.0,62914776.0,77000823.0,106084583.0,123747098.0,172489303.0,15278081.0,20686867.0,18004163.0,18287131.0,19072565.0,18508090.0,15656530.0,14598398.0,13729792.0,14929030.0,12731452.0,15395219.0,14085582.0,14877016.0,10106554.0,8456563.0
ANHEUSER-BUSCH INBEV,BE0974293251,3064762.0,3173197.0,5275608.0,6349934.0,7566596.0,8954953.0,10993812.0,13931417.0,17323162.0,20928803.0,20695522.0,36026909.0,37239321.0,36993812.0,41244141.0,44231911.0,40436280.0,44056634.0,44075507.0,60914910.0,52641107.0,51329612.0,49141187.0,52681977.0,58685338.0,59047581.0
STOLT-NIELSEN,BMG850801025,1833402.0,1645860.0,2283416.0,2598167.0,3294011.0,3422021.0,2021847.0,1562987.0,1635538.0,1865452.0,1740562.0,1616260.0,1829400.0,1917727.0,2152491.0,2157267.0,1817963.0,1985805.0,1816130.0,2178234.0,2040971.0,1994653.0,2064372.0,2103378.0,2800430.0,2811590.0
OC OERLIKON CORPORATION,CH0000816824,2562517.0,1760950.0,1993338.0,1255926.0,1099363.0,1306529.0,1521253.0,1233018.0,1848271.0,5104096.0,4061524.0,2679598.0,3761371.0,4580835.0,3166872.0,3209651.0,3475423.0,2689382.0,2336922.0,3013494.0,2606589.0,2656127.0,2507458.0,2869547.0,3150182.0,3089051.0
SWISS PRIME SITE,CH0008038389,,,26268.0,48828.0,73161.0,89595.0,107781.0,148903.0,156533.0,185795.0,179252.0,273400.0,621280.0,710770.0,645885.0,863838.0,919255.0,1018790.0,1057939.0,1214998.0,1222722.0,1301141.0,897689.0,836286.0,884452.0,765080.0
SWISSCOM 'R',CH0008742519,7382674.0,6797717.0,8551634.0,8369294.0,10717679.0,11832611.0,8269859.0,7476471.0,7787585.0,10054951.0,10429993.0,11177566.0,12521887.0,12560601.0,12405943.0,12729500.0,12650973.0,11758371.0,11672579.0,12344001.0,11703177.0,11731824.0,12326299.0,12114059.0,12033283.0,12700324.0
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,CH0010570759,948505.0,877186.0,932591.0,939317.0,1239919.0,1461122.0,1658248.0,1726149.0,2085940.0,2671467.0,2511561.0,2351564.0,2694169.0,2725936.0,2909141.0,3209094.0,3659626.0,3678443.0,3910810.0,4327492.0,4309215.0,4618772.0,4460565.0,4967273.0,5382273.0,5966124.0
