NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ANHEUSER-BUSCH INBEV,BE0974293251,,,11964.3,11758.2,7248.0,12651.28,21524.62,26448.61,42561.42,50000.87,42681.26,80485.19,88305.21,106447.76,146555.0,167754.96,204861.35,179419.91,184060.34,182855.57,127280.74,113863.25,97544.93,113798.02,103811.74,109846.78
STOLT-NIELSEN,BMG850801025,371.45,545.38,543.44,829.09,416.01,1024.56,2468.99,2056.87,1876.41,1568.33,417.46,1044.4,1700.82,1461.22,1292.21,1923.8,1044.85,590.69,1018.74,858.68,869.47,734.37,856.41,1067.21,1764.5,2142.4
OC OERLIKON CORPORATION,CH0000816824,1466.34,3176.44,2691.26,1316.6,734.76,2004.82,1937.25,2984.74,7489.89,4843.21,294.81,477.87,2124.41,2479.67,3833.2,5665.0,4240.61,3344.65,3729.55,5858.83,4572.92,3329.77,3685.44,3062.45,2015.43,1636.82
SWISS PRIME SITE,CH0008038389,,,468.66,434.85,686.49,748.01,1022.67,1226.97,1510.76,1515.88,952.45,3131.94,3958.18,4284.64,4780.45,5019.53,5514.53,5790.12,6159.86,6814.29,6401.0,9455.33,7141.37,7493.79,6493.73,7458.2
SWISSCOM 'R',CH0008742519,29083.7,24917.2,17491.15,21700.95,19688.93,22009.41,25926.36,18518.57,21711.02,21632.85,16179.35,17822.4,22722.67,20952.85,23190.61,30286.88,29448.05,25419.62,23136.43,28531.89,23960.11,29241.98,26121.26,30655.54,32046.04,30156.69
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,CH0010570759,511.02,516.99,771.6,766.78,764.54,1476.36,1999.14,2656.02,3673.11,4852.51,2489.76,3261.8,4296.92,5124.75,5736.72,7709.22,8692.61,9413.85,8677.83,9949.6,9912.95,12256.19,12053.38,15059.03,14964.29,16646.75
GIVAUDAN 'N',CH0010645932,,,2365.32,2771.28,3561.06,4088.82,5242.22,5306.04,6520.7,7030.41,4097.11,6995.83,9097.21,9035.31,11042.97,14337.54,17839.04,17365.73,16703.38,21453.05,23131.29,30408.14,34955.17,37302.48,28041.24,40018.17
ZURICH INSURANCE GROUP,CH0011075394,31137.8,20725.92,39647.45,15709.95,10697.41,23568.66,26498.69,34410.14,43493.56,44699.63,21094.32,35584.7,42144.46,37290.01,39493.92,44819.1,47875.09,32219.91,41233.94,50679.7,49905.24,62245.52,61743.0,68530.85,71113.7,77339.58
BASILEA PHARMACEUTICA 'R',CH0011432447,,,,,,,641.78,907.65,1685.26,1839.51,519.7,705.82,726.84,525.85,556.33,1365.11,1356.62,813.5,1008.1,870.05,602.95,558.37,611.78,508.86,744.09,538.62
NOVARTIS 'R',CH0012005267,112364.03,93658.0,117823.03,106367.5,101184.93,120391.28,132878.78,142571.92,151102.82,134623.92,103333.71,146901.69,145474.14,157948.84,180999.1,228458.65,278586.44,193155.96,202518.46,224510.1,233350.12,223492.72,213077.9,212136.54,206374.98,249319.45
ROCHE HOLDING,CH0012032048,88972.64,76728.13,62423.68,47788.68,42488.7,70514.09,74671.44,102938.93,126975.17,133673.51,80026.48,117485.32,103808.95,125017.11,159900.91,215031.35,190851.68,183000.56,171131.19,167199.77,195789.28,238006.32,231225.48,264508.85,206135.98,182836.83
CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,CH0012138530,41781.05,45925.51,54384.75,41113.06,22284.91,42906.65,51349.43,67928.33,89285.0,58013.37,27526.49,52678.66,54814.08,33487.55,35089.95,49209.87,39697.55,26756.82,31203.82,47794.48,31196.93,31678.53,35487.35,22393.25,11795.8,3713.43
ADECCO GROUP,CH0012138605,8931.83,14930.08,11457.05,11253.31,5383.1,9486.42,10034.31,10478.0,13201.62,9979.6,5893.69,9420.69,12485.52,9898.44,10667.34,15786.8,14096.55,10221.51,11986.86,13888.89,8974.65,9187.29,10285.13,8173.7,6078.82,7079.27
CLARIANT,CH0012142631,6915.37,5573.72,4916.84,2841.95,1115.36,2341.81,3867.15,3590.69,3823.2,2034.69,932.37,2497.23,3782.23,4298.06,4400.67,6605.58,6019.55,5508.18,6195.96,8370.18,7177.47,7558.96,6970.24,5867.69,5523.93,4165.62
HOLCIM,CH0012214059,2544.06,2964.38,3409.46,2386.97,1653.68,10250.93,15246.36,18100.98,26070.91,27019.51,9084.0,21662.18,23742.35,21428.87,25247.68,26384.42,25266.57,23910.29,33551.55,36131.54,30254.69,29123.23,34126.8,30974.26,37159.26,46131.42
ABB LTD N,CH0012221716,9966.04,33482.76,25232.63,8056.52,2568.16,12711.39,12551.08,24833.1,38992.65,57014.52,27970.01,47180.85,55407.3,48584.53,51837.82,58779.36,49648.59,41238.75,49766.77,53955.78,44325.18,49484.31,62556.09,68405.68,64974.15,86221.37
THE SWATCH GROUP,CH0012255151,2297.84,3825.4,3752.1,2744.32,2528.35,4406.91,4612.75,5430.8,8116.57,9492.46,3526.08,8586.69,13016.71,13927.93,17150.4,20382.26,14112.72,10639.72,10483.79,13416.81,9244.66,6959.37,8668.33,8892.43,9864.71,6864.92
BALOISE HOLDING,CH0012410517,5076.94,4727.71,5977.96,3998.15,1259.14,2650.08,2861.1,3541.62,6055.83,4858.41,2903.33,4306.43,5345.85,3985.04,4409.68,6323.14,6476.61,6304.09,6462.06,7843.02,7889.58,8322.13,8565.47,7609.95,7431.71,7401.66
SONOVA N,CH0012549785,770.12,1358.13,2142.24,1087.57,512.7,1724.73,2352.72,3285.24,5130.02,6294.87,3327.51,8196.92,8760.35,7615.67,7933.41,9411.82,9236.57,8140.16,8455.34,10437.16,12112.53,15975.85,16560.13,23518.31,15455.48,19509.4
