NAME,ISIN,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RAIFFEISEN BANK INTL.,AT0000606306,305.0,305.0,208.0,6027.0,6508.0,5944.0,7073.0,6221.0,4827.0,6060.0,6060.0
ERSTE GROUP BANK,AT0000652011,32749.0,32749.0,49122.0,22630.0,27854.0,27332.0,29950.0,24929.0,21530.0,20707.0,18701.0
TELEKOM AUSTRIA,AT0000720008,27476.0,27476.0,27446.0,27419.0,27867.0,27003.0,22758.0,21411.0,21316.0,21316.0,24048.0
ANDRITZ,AT0000730007,105229.0,105229.0,76563.0,64155.0,63396.0,71677.0,22452.0,25968.0,25968.0,24090.0,53194.0
OMV,AT0000743059,12907485.0,12800000.0,11900000.0,11000000.0,11100000.0,11100000.0,10600000.0,10700000.0,13900000.0,11700000.0,10000000.0
WIENERBERGER,AT0000831706,323971.0,955453.0,979996.0,1074000.0,1365000.0,1408000.0,1408000.0,1155000.0,2484000.0,2767700.0,1909400.0
VIENNA INSURANCE GROUP A,AT0000908504,4010.0,4010.0,3338.0,3520.0,4833.0,5102.0,3129.0,13512.0,13512.0,14210.0,15149.0
VOESTALPINE,AT0000937503,8897315.0,7664383.0,8027734.0,8042542.0,8062326.0,12681486.0,13614420.0,13614420.0,14453739.0,12710000.0,12530000.0
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,7149570.0,7149570.0,6511407.0,625847.0,226739.0,238928.0,330836.0,313736.0,370185.0,365779.0,365779.0
SOLVAY,BE0003470755,9914980.0,11400000.0,11400000.0,10166866.0,10200000.0,10350000.0,10590000.0,8890000.0,9590000.0,9270000.0,6620000.0
KBC GROUP,BE0003565737,25166.0,25166.0,33685.0,35901.0,41730.0,37629.0,34739.0,25199.0,19511.0,21596.0,29047.0
COFINIMMO,BE0003593044,133.0,133.0,105.0,109.0,87.0,70.0,7181.0,5780.0,6021.0,6021.0,4265.0
SOFINA,BE0003717312,,,14652.0,122.0,105.0,214.0,378.0,535.0,69495.0,190.0,216.0
ORANGE BELGIUM,BE0003735496,7972.0,5590.0,5590.0,4994.0,4874.0,5516.0,2601.0,2743.0,3505.0,3505.0,
UCB,BE0003739530,40420.0,34733.0,37573.0,37583.0,26871.0,27508.0,26121.0,30647.0,27777.0,27777.0,20547.0
AGFA-GEVAERT,BE0003755692,58572.0,58572.0,24583.0,29409.0,26203.0,26576.0,26576.0,26576.0,78813.0,83000.0,83000.0
GBL NEW,BE0003797140,732321.0,732321.0,236664.0,131441.0,136092.0,63475.0,35007.0,38075.0,100.0,100.0,166.0
PROXIMUS,BE0003810273,52968.0,43100.0,46018.0,42547.0,45448.0,38000.0,36000.0,26600.0,26600.0,26600.0,27400.0
ELIA GROUP,BE0003822393,3158699.0,60302.0,2122151.0,176362.0,18087.0,18087.0,36755.7250876276,19797.0,15807.0,17009.0,15781.34
COLRUYT GROUP,BE0974256852,35084.0,35084.0,27137.0,35991.0,34076.0,152509.0,139899.0,147473.0,170907.0,83194.0,83194.0
BEKAERT (D),BE0974258874,5279799.0,5279799.0,3457839.0,59736.0,49859.0,50484.0,305903.0,305903.0,316854.0,316951.0,316951.0
AGEAS (EX-FORTIS),BE0974264930,5453.0,5453.0,4908.0,3837.0,5511.0,5665.0,5540.0,5540.0,10317.0,10317.0,11229.0
ANHEUSER-BUSCH INBEV,BE0974293251,,,3373822.0,2995200.0,3708000.0,3708000.0,3591200.0,2590500.0,2985570.0,2363169.0,2603520.0
STOLT-NIELSEN,BMG850801025,2126369.0,2126369.0,1630396.0,840102.0,959604.0,1297649.0,1253282.0,1798538.0,1626515.0,1578587.0,1644764.0
OC OERLIKON CORPORATION,CH0000816824,43170.0,43170.0,1549.0,1549.0,1331.0,1695.0,1536.0,1554.0,13747.0,19000.0,19000.0
SWISS PRIME SITE,CH0008038389,14861.0,14861.0,18000.0,13400.0,15352.0,15352.0,16234.0,13029.0,13029.0,9303.0,9461.0
SWISSCOM 'R',CH0008742519,25486.0,21400.0,21400.0,20618.0,20057.0,16171.0,16295.0,14420.0,14429.0,12305.0,12305.0
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,CH0010570759,136489.0,151036.0,149440.0,44505.0,44505.0,44587.0,43606.0,46288.0,46288.0,60484.0,58406.0
GIVAUDAN 'N',CH0010645932,103703.0,103703.0,98001.0,99740.0,107220.0,108706.0,105959.0,98180.0,139608.0,154590.0,154590.0
ZURICH INSURANCE GROUP,CH0011075394,31948.0,31948.0,35666.0,30284.0,27167.0,23293.0,20995.0,16437.0,18668.0,18668.0,19036.0
