NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
STOLT-NIELSEN,BMG850801025,10.05,16.36,14.76,11.97,7.92,14.42,38.14,38.27,35.72,31.04,11.9,22.17,36.16,33.35,34.02,51.67,27.47,20.0,31.08,25.23,26.74,26.56,34.61,42.61,74.35,108.43
OC OERLIKON CORPORATION,CH0000816824,108.82,205.37,197.77,85.48,52.35,142.22,109.4,181.88,524.07,325.55,26.64,26.04,44.27,49.34,85.22,110.98,88.54,70.47,86.91,131.35,103.79,93.43,106.61,97.43,67.99,49.07
SWISS PRIME SITE,CH0008038389,,,60.33,56.45,70.87,79.84,111.25,112.51,152.18,145.41,112.6,162.49,214.72,252.63,283.28,288.65,339.77,321.18,359.4,408.48,389.57,591.45,490.34,499.12,476.16,562.15
SWISSCOM 'R',CH0008742519,125.79,111.65,81.39,93.34,103.78,122.91,137.02,115.67,151.79,154.86,136.33,165.62,221.27,213.84,241.34,324.74,354.7,306.74,287.14,370.84,322.65,437.2,419.76,484.95,505.17,516.0
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,CH0010570759,860.7,825.07,993.14,920.4,942.66,1733.04,2304.38,3253.15,4500.22,5383.92,3485.64,4156.73,5548.89,6540.76,7687.32,10462.02,12249.07,13210.68,12802.46,14384.13,14640.48,19086.56,19958.47,24244.37,24007.27,28194.95
GIVAUDAN 'N',CH0010645932,,,53.72,65.0,83.36,107.69,135.86,149.27,198.78,197.16,161.78,191.75,247.26,246.34,309.45,400.72,522.66,532.04,514.41,687.42,747.11,1065.37,1285.35,1324.08,1098.42,1451.76
ZURICH INSURANCE GROUP,CH0011075394,3584.84,2423.19,2903.84,1073.85,612.28,1072.02,1161.8,1592.44,2006.77,2005.33,1293.33,1827.43,2413.16,2361.48,2799.67,3196.03,3881.25,2604.81,3753.68,4462.16,4689.64,6719.98,6955.0,8475.67,8787.16,9877.61
BASILEA PHARMACEUTICA 'R',CH0011432447,,,,,,,85.59,121.82,207.45,157.39,121.1,64.67,82.6,49.52,56.55,157.87,125.16,79.62,84.74,83.76,57.0,62.49,64.96,51.25,57.75,41.27
NOVARTIS 'R',CH0012005267,3081.75,2114.92,2887.2,2550.62,2550.9,3446.69,3533.59,4120.83,4546.58,3819.49,3379.27,4494.35,4941.75,5160.36,6478.24,7946.59,10143.69,7809.79,8074.81,9581.12,10333.08,13120.94,12808.31,12801.7,13148.65,17525.4
ROCHE HOLDING,CH0012032048,978.66,877.58,749.03,552.65,539.39,853.63,834.94,1255.94,1613.57,1523.38,1105.82,1456.35,1398.45,1760.57,2240.29,3046.04,3005.75,2904.39,2822.85,2843.84,3368.32,4546.21,4604.75,5166.99,4372.19,3849.81
CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,CH0012138530,866.29,1031.27,1200.08,889.35,530.03,1008.79,1082.91,1617.77,1997.58,1472.49,832.4,1231.58,1436.44,885.42,964.79,1054.65,782.48,553.32,591.13,782.15,520.18,586.76,628.27,451.23,174.77,
ADECCO GROUP,CH0012138605,215.89,348.24,316.84,252.73,138.08,254.88,251.15,269.59,323.71,238.69,185.07,269.83,367.24,279.53,322.62,478.71,458.7,373.09,456.21,516.1,349.12,427.3,485.8,392.5,325.5,389.63
CLARIANT,CH0012142631,270.24,218.09,188.23,96.63,71.84,90.43,99.88,92.95,113.68,48.79,36.29,70.33,119.28,87.8,94.3,136.25,122.81,122.69,141.55,212.99,158.03,187.12,198.44,215.62,173.83,131.51
HOLCIM,CH0012214059,1152.55,1412.4,1541.45,1028.77,772.35,1262.47,1686.15,1960.65,2769.3,2545.37,1259.47,2006.34,2267.04,2004.21,2529.88,2520.19,2487.67,1425.32,2043.8,2237.27,1920.91,2121.84,2459.03,2512.6,2875.85,3821.44
ABB LTD N,CH0012221716,1312.0,2123.65,1684.27,575.85,189.8,528.42,505.42,964.91,1685.82,2138.91,1297.5,1654.94,2283.44,2149.34,2165.98,2705.35,2260.03,2030.37,2782.25,3221.37,2464.67,3242.99,4001.42,4970.7,5121.34,6799.97
THE SWATCH GROUP,CH0012255151,52.53,92.08,108.98,77.25,73.96,130.62,128.66,155.28,244.81,258.89,125.02,257.98,428.89,463.46,608.59,698.59,482.39,404.85,392.82,509.39,327.84,315.2,379.16,365.13,463.31,308.89
BALOISE HOLDING,CH0012410517,5949.58,5246.02,7245.67,5082.15,1896.42,3360.47,3474.81,4505.66,7938.84,6429.87,5338.93,6584.03,9386.35,7286.22,8665.69,12574.43,14223.08,13583.25,15336.74,19073.68,19458.56,24094.34,23578.51,25099.83,24047.76,24865.21
SONOVA N,CH0012549785,238.02,409.84,770.55,424.33,162.23,501.62,662.2,1004.68,1567.88,1687.97,962.52,2426.6,2694.61,2290.86,2556.82,2921.94,2961.52,2656.1,2907.5,3515.65,4213.69,6076.24,5879.14,8386.43,6393.26,7896.99
LONZA GROUP,CH0013841017,,65.51,68.2,70.1,67.08,62.68,73.93,76.9,116.44,156.41,124.0,92.56,108.57,76.72,86.66,154.93,178.45,231.1,279.37,441.58,486.32,731.2,1115.72,1210.0,1080.59,909.09
VALIANT 'R',CH0014786500,101.45,91.52,105.14,123.96,166.29,230.94,260.53,288.23,355.55,517.36,533.73,599.24,466.43,417.8,322.35,351.17,308.74,410.44,422.67,474.08,457.62,462.51,462.12,498.48,581.71,643.18
SWISS LIFE HOLDING,CH0014852781,368.91,263.65,436.29,170.63,48.1,146.76,124.71,159.07,234.08,207.24,49.9,123.71,172.73,114.23,163.98,250.66,273.21,295.38,386.2,468.2,547.84,724.52,704.11,1012.19,950.43,1204.13
PSP SWISS PROPERTY AG,CH0018294154,,,61.08,59.77,78.47,105.5,126.48,140.14,192.58,185.48,142.68,207.55,284.12,336.44,381.46,380.11,460.19,388.59,438.15,459.83,526.38,794.56,697.98,656.46,714.25,790.13
