ISIN,Name,Country,Region,Reason
GB0007370074,RICARDO,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB0007689002,KIN AND CARTA DEAD - DELIST.29/04/24,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB0008475088,ROBERT WALTERS,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB0009067447,MOTHERCARE,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB0009296665,VIDENDUM,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB0009692319,WILMINGTON,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB0030181522,TRIBAL GROUP,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB0030329360,WINCANTON DEAD - DELIST.30/04/24,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB0034291418,CENTAUR MEDIA,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B01CZ652,HORNBY,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B03HDJ73,ESKEN LIMITED DEAD - DELIST.02/04/24,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B17MMZ46,LOOKERS DEAD - DELIST.09/10/23,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B18P5K83,TOPPS TILES,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B1P6ZR11,BROWN GROUP,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B3CX3644,STV GROUP,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B572ZV91,PHAROS ENERGY,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B64NSP76,COSTAIN GROUP,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B6YTLS95,STAGECOACH GROUP DEAD - DELIST.28/06/22,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00B8B4R053,STUDIO RETAIL GROUP DEAD - DELIST.25/02/22,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BD6K4575,COMPASS GROUP,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BD736828,AIR PARTNER DEAD - DEAD 04/04/22,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BDFBVT43,OXFORD BIOMEDICA,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BDR05C01,NATIONAL GRID,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BF044593,CLS HOLDINGS,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BF5H9P87,GREAT PORTLAND ESTATES,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BF8Q6K64,ABRDN,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BG11K365,REDROW DEAD - DELIST.23/08/24,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BGDT3G23,RIGHTMOVE,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BHJYC057,ICTL.HTLS.GP.,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BJ1F4N75,MICRO FOCUS INTL. DEAD - DELIST.01/02/23,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BJFFLV09,CRODA INTERNATIONAL,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BJQZC279,DAILY MAIL 'A' DEAD - DELIST.10/01/22,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BJT0FF39,RM,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BK9RKT01,TRAVIS PERKINS,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BKP36R26,HYVE GROUP DEAD - DELIST.23/05/23,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BKY40Q38,GALLIFORD TRY,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BL6XZ716,CAPITAL & REGIONAL DEAD - DELIST.11/12/24,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BLGZ9862,TESCO,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BM8PJY71,NATWEST GROUP,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BM8Q5M07,JD SPORTS FASHION,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BN7SWP63,GLAXOSMITHKLINE,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BNGDN821,MELROSE INDUSTRIES,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BNNTLN49,PENNON GROUP,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BNR4T868,RENEWI,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BP6MXD84,SHELL,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BP92CJ43,TATE & LYLE,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BP9LHF23,SCHRODERS,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BPQY8M80,AVIVA,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BRKD9Z53,MJ GLEESON,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BYW0PQ60,LAND SECURITIES GROUP,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BYYTFB60,HOMESERVE DEAD - DELIST.05/01/23,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
GB00BYZN9041,FUTURE,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IE00B00MZ448,GRAFTON GROUP,IE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IE00B010DT83,C&C GROUP,IE,EUR,DS_REV_USD_Y.xlsx: >20% missing data
IE00BD1RP616,BANK OF IRELAND GROUP,IE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
