,Minimum Variance,Value-Weighted,MV Carbon-Constrained,VW Carbon-Constrained,Net Zero
2014-01-31,-0.016213506288219097,-0.036677227468549144,-0.015834095051413605,-0.03667722485926449,-0.036677224669906604
2014-02-28,0.07216922220891675,0.06954323631021903,0.07284165814232772,0.06954324409319551,0.06954324418872848
2014-03-31,-0.00823638582521785,-0.0037399037625501863,-0.007941817515723851,-0.0037399184327508487,-0.003739918684574659
2014-04-30,0.009036231318920592,0.02134327150616387,0.009143676852006165,0.021343274329642906,0.02134327435053525
2014-05-30,0.009566518417469583,0.012866528579358594,0.00983217418341767,0.012866529952259334,0.012866529955816632
2014-06-30,-0.007633475423668534,-0.002873195878860777,-0.007693995870443538,-0.0028731952130843282,-0.0028731951693440174
2014-07-31,-0.045379792386347456,-0.037517179942187145,-0.045615200572456244,-0.03751717009474933,-0.03751716994000024
2014-08-29,-0.000840187224886349,0.006172942748990395,-0.0008625205348780371,0.006172935904262545,0.006172935775656915
2014-09-30,-0.05316152960005051,-0.036652346927306824,-0.052886153421783634,-0.036652363446714686,-0.03665236365967025
2014-10-31,-0.01747761440226977,-0.022408109276886155,-0.017679021817438776,-0.022408095592824244,-0.02240809545904619
2014-11-28,0.028249953381464875,0.02995527686564278,0.027931040351622492,0.02995527008391657,0.02995526993332913
2014-12-31,-0.030187978752088562,-0.03989855947159138,-0.029475966621197343,-0.03989855069946953,-0.039898550489137
2015-01-30,-0.009415769473989663,-0.0032580196019752683,-0.008017392234544786,-0.002331967163616884,-0.00325808118824516
2015-02-27,0.06942495741598508,0.06352367314516322,0.06978661328556215,0.06363460066778011,0.06352353017764625
2015-03-31,-0.01786104077792689,-0.020734065628542145,-0.01670732209007929,-0.020149093307933366,-0.020734159044888005
2015-04-30,0.0414558343007463,0.04337172543601252,0.04160458673818512,0.04334418515032695,0.04337163165882017
2015-05-29,0.00422283788239038,-0.004526089598175395,0.006002466241482523,-0.0030398171645238774,-0.00452607074176431
2015-06-30,-0.020553481172101127,-0.025993699686821567,-0.019582759668670617,-0.02509635845890723,-0.02599379918280107
2015-07-31,0.024586485024799036,0.03050042416526885,0.025310009467856102,0.031162631140292683,0.030500299864879052
2015-08-31,-0.05351812924675162,-0.06857686872284259,-0.05179525050270627,-0.06703537289311089,-0.0685770236924749
2015-09-30,-0.03896052171364653,-0.04590432820106065,-0.0357739302976081,-0.04347181548093666,-0.04590479783295609
2015-10-30,0.07009605474421443,0.07458275931067518,0.0677265291783205,0.07279025351374921,0.07458294615860699
2015-11-30,-0.013084891278058532,-0.017397588304445016,-0.01108188187736538,-0.016407551450039835,-0.017397876477995754
2015-12-31,-0.0063498936436107555,-0.027349134234526874,-0.008378991964766897,-0.02740634376134643,-0.027349181249569657
2016-01-29,-0.06827996086682994,-0.06601059051903527,-0.06757114517314095,-0.06541754430627698,-0.06601065135268977
2016-02-29,-0.008871963775742165,-0.018631231028232748,-0.009339857269785822,-0.018858089703294216,-0.018631261946803805
2016-03-31,0.08793782476141235,0.06375378005893927,0.08262658027044216,0.061918561440281336,0.06375382072105261
2016-04-29,0.032325245602962335,0.03145793142712303,0.028063866252671852,0.029232169075890775,0.031457951195569114
2016-05-31,-0.00454220380572623,-0.004252314763627787,-0.0025209333894599395,-0.002765841932548756,-0.004252394837974462
2016-06-30,-0.06643034141982952,-0.049378070004341516,-0.06919602152744038,-0.051146051270119355,-0.04937805994577771
2016-07-29,0.05887534541435657,0.044953640348919695,0.05655221929070117,0.044302244618435835,0.044953660820412425
2016-08-31,0.006244528364942959,0.008159415091693593,0.006827687039394229,0.008384777470944127,0.008159391257897356
2016-09-30,0.01391282002794901,0.00509983909590825,0.013036631286075963,0.005100009795080686,0.00509983605987495
2016-10-31,-0.026982473112555985,-0.025853645549387037,-0.028269257213552935,-0.026771621792844813,-0.02585361247805272
2016-11-30,-0.013953452511191664,-0.022946937133456025,-0.013122573505052214,-0.022065382110656825,-0.02294694156431912
2016-12-30,0.04829017218710138,0.0535927955522813,0.04868776487097549,0.053220342600783954,0.053592804535098855
2017-01-31,0.03896957974786631,0.016529368534222152,0.038731531824878804,0.016479444181875733,0.016517810175602877
