,0
2014-01-31,-0.03579261668860447
2014-02-28,0.07097246088156156
2014-03-31,-0.006279804766059432
2014-04-30,0.01877417665225146
2014-05-30,0.011820653305728637
2014-06-30,-0.0025241845719341472
2014-07-31,-0.03953817766361313
2014-08-29,0.0060612156985835
2014-09-30,-0.034192587865046004
2014-10-31,-0.02086400448063292
2014-11-28,0.03259069380490485
2014-12-31,-0.03955422256161305
2015-01-30,0.00020875700603738062
2015-02-27,0.05899350112541137
2015-03-31,-0.020494705301918804
2015-04-30,0.038216436647398655
2015-05-29,-0.0038331886511421527
2015-06-30,-0.025496861252375762
2015-07-31,0.03328695132735238
2015-08-31,-0.06839197806540617
2015-09-30,-0.042430522437025456
2015-10-30,0.07230528382643778
2015-11-30,-0.01519005555837775
2015-12-31,-0.02346512271301031
2016-01-29,-0.06316381777439664
2016-02-29,-0.021759622974668956
2016-03-31,0.06347442278060629
2016-04-29,0.02460253387771462
2016-05-31,-0.0006273241341740711
2016-06-30,-0.04638784876371964
2016-07-29,0.04147589266729027
2016-08-31,0.005136572378064705
2016-09-30,0.008005874269242904
2016-10-31,-0.02960233603980284
2016-11-30,-0.024370791405200858
2016-12-30,0.048991789270806205
2017-01-31,0.019768767190114014
2017-02-28,0.012079775413214307
2017-03-31,0.04081837439653187
2017-04-28,0.03758103453430636
2017-05-31,0.05231921566900388
2017-06-30,-0.008346725124005517
2017-07-31,0.028946700720561637
2017-08-31,-0.0025379922371042358
2017-09-29,0.03164607139740004
2017-10-31,0.008587843527101739
2017-11-30,0.002932202625376406
2017-12-29,0.00995616627442217
2018-01-31,0.054817654312350125
2018-02-28,-0.05879415948437477
2018-03-30,-0.010456026835484125
2018-04-30,0.02660329605251808
2018-05-31,-0.031135353628626666
2018-06-29,-0.00382737185860814
2018-07-31,0.034518693679272294
2018-08-31,-0.026482897982855202
2018-09-28,0.0037830940442839167
2018-10-31,-0.07463881949677198
2018-11-30,-0.0036107864192499407
2018-12-31,-0.05110474329091603
2019-01-31,0.06591549816604385
2019-02-28,0.032883130322068535
2019-03-29,0.010017190586979688
2019-04-30,0.03718491892313061
2019-05-31,-0.050937539655186166
2019-06-28,0.06684486629535177
2019-07-31,-0.01561339558615702
2019-08-30,-0.020140032659549303
2019-09-30,0.025831438531765626
2019-10-31,0.028593168281588185
2019-11-29,0.01564055268991358
2019-12-31,0.03856974572157705
2020-01-31,-0.024858144928587424
2020-02-28,-0.09309601247508884
2020-03-31,-0.14771103070041672
2020-04-30,0.06253331183977352
2020-05-29,0.04535241052634614
2020-06-30,0.043269072528423325
2020-07-31,0.03598535849516593
2020-08-31,0.043600773903486434
2020-09-30,-0.037592331880351854
2020-10-30,-0.055106132572812216
2020-11-30,0.18122171472516307
2020-12-31,0.04426886690964486
2021-01-29,-0.021951576651010468
2021-02-26,0.03304325232585632
2021-03-31,0.03546685265600075
2021-04-30,0.05314606207572278
2021-05-31,0.043943931480370874
2021-06-30,-0.018327655330024006
2021-07-30,0.013963452818401223
2021-08-31,0.012562132898080558
2021-09-30,-0.04682347514777546
2021-10-29,0.04441893212107206
2021-11-30,-0.048094123748830056
2021-12-31,0.06658163973676837
2022-01-31,-0.037950325601788286
2022-02-28,-0.033527910644287784
2022-03-31,0.004298673497753903
2022-04-29,-0.05703116008477924
2022-05-31,0.009766254647764814
2022-06-30,-0.09723057127651888
2022-07-29,0.0468322138641773
2022-08-31,-0.05471359469360568
2022-09-30,-0.08738638540699795
2022-10-31,0.07662280639718544
2022-11-30,0.11020894625111786
2022-12-30,-0.004780781424874471
2023-01-31,0.09010788781691877
2023-02-28,-0.007680179826212615
2023-03-31,0.028257120460008434
2023-04-28,0.041472297012207476
2023-05-31,-0.05552456625991464
2023-06-30,0.051868466754699985
2023-07-31,0.02824650453859649
2023-08-31,-0.03695983154066974
2023-09-29,-0.039964097768035875
2023-10-31,-0.03782599281087388
2023-11-30,0.0970456234125756
2023-12-29,0.047973573862356164
