,Minimum Variance,Value-Weighted
Annual Return,0.06538852841373,0.04238371279284362
Annual Volatility,0.17582441633152338,0.17713368593450537
Sharpe Ratio,0.3033256639677117,0.17121103783625735
Min Monthly Return,-0.14587185502869088,-0.15228206029208916
Max Monthly Return,0.1811036855282219,0.18042502888487552
