,0
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-28,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-29,
2000-10-31,
2000-11-30,
2000-12-29,
2001-01-31,
2001-02-28,
2001-03-30,
2001-04-30,
2001-05-31,
2001-06-29,
2001-07-31,
2001-08-31,
2001-09-28,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-29,
2002-04-30,
2002-05-31,
2002-06-28,
2002-07-31,
2002-08-30,
2002-09-30,
2002-10-31,
2002-11-29,
2002-12-31,
2003-01-31,
2003-02-28,
2003-03-31,
2003-04-30,
2003-05-30,
2003-06-30,
2003-07-31,
2003-08-29,
2003-09-30,
2003-10-31,
2003-11-28,
2003-12-31,
2004-01-30,
2004-02-27,
2004-03-31,
2004-04-30,
2004-05-31,
2004-06-30,
2004-07-30,
2004-08-31,
2004-09-30,
2004-10-29,
2004-11-30,
2004-12-31,
2005-01-31,
2005-02-28,
2005-03-31,
2005-04-29,
2005-05-31,
2005-06-30,
2005-07-29,
2005-08-31,
2005-09-30,
2005-10-31,
2005-11-30,
2005-12-30,
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-28,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-29,
2006-10-31,
2006-11-30,
2006-12-29,
2007-01-31,
2007-02-28,
2007-03-30,
2007-04-30,
2007-05-31,
2007-06-29,
2007-07-31,
2007-08-31,
2007-09-28,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,
2008-02-29,
2008-03-31,
2008-04-30,
2008-05-30,
2008-06-30,
2008-07-31,
2008-08-29,
2008-09-30,
2008-10-31,
2008-11-28,
2008-12-31,
2009-01-30,
2009-02-27,
2009-03-31,
2009-04-30,
2009-05-29,
2009-06-30,
2009-07-31,
2009-08-31,
2009-09-30,
2009-10-30,
2009-11-30,
2009-12-31,
2010-01-29,
2010-02-26,
2010-03-31,
2010-04-30,
2010-05-31,
2010-06-30,
2010-07-30,
2010-08-31,
2010-09-30,
2010-10-29,
2010-11-30,
2010-12-31,
2011-01-31,
2011-02-28,
2011-03-31,
2011-04-29,
2011-05-31,
2011-06-30,
2011-07-29,
2011-08-31,
2011-09-30,
2011-10-31,
2011-11-30,
2011-12-30,
2012-01-31,
2012-02-29,
2012-03-30,
2012-04-30,
2012-05-31,
2012-06-29,
2012-07-31,
2012-08-31,
2012-09-28,
2012-10-31,
2012-11-30,
2012-12-31,
2013-01-31,
2013-02-28,
2013-03-29,
2013-04-30,
2013-05-31,
2013-06-28,
2013-07-31,
2013-08-30,
2013-09-30,
2013-10-31,
2013-11-29,
2013-12-31,
2014-01-31,-0.0023839190823361717
2014-02-28,0.06251575663824402
2014-03-31,0.0006358250261735883
2014-04-30,0.01474815236088455
2014-05-30,-0.004863498282236223
2014-06-30,-0.01493311291644048
2014-07-31,-0.037427354917026055
2014-08-29,-0.0040038727466260565
2014-09-30,-0.06796843295994287
2014-10-31,-0.00469411477039456
2014-11-28,0.026196766177936988
2014-12-31,-0.03424914907680607
2015-01-30,-0.009101493087921495
2015-02-27,0.07363386864619406
2015-03-31,-0.02312673383662408
2015-04-30,0.06565565194819242
2015-05-29,-0.01007217254181583
2015-06-30,-0.024600967626890742
2015-07-31,0.03345343670400606
2015-08-31,-0.04962816796428153
2015-09-30,-0.03881082704626661
2015-10-30,0.056570665959696044
2015-11-30,-0.022367280965319605
2015-12-31,0.023403598078431675
2016-01-29,-0.09093555870793174
2016-02-29,-0.013815816429288932
2016-03-31,0.0850307279993522
2016-04-29,0.038246248118942755
2016-05-31,-0.0023637120891317432
2016-06-30,-0.043661979720228984
2016-07-29,0.04292333499873297
2016-08-31,-0.002505889492070704
2016-09-30,0.020803084368678643
2016-10-31,-0.02652846276723878
2016-11-30,-0.02121790465605599
2016-12-30,0.028129418484230093
2017-01-31,0.04903345908239426
2017-02-28,0.017134634689385905
2017-03-31,0.035954133523101936
2017-04-28,0.04405355071527507
2017-05-31,0.06185616102981974
2017-06-30,0.03162680673829988
2017-07-31,0.045086456533920204
2017-08-31,0.015381820401201503
2017-09-29,0.007919964720794162
2017-10-31,0.011515418311166585
2017-11-30,-0.0004519206822701876
2017-12-29,0.021902468512896935
2018-01-31,0.0691430858686129
2018-02-28,-0.04975078134306737
2018-03-30,-0.014406724878016365
2018-04-30,0.012573244262832288
2018-05-31,-0.027944363343214887
2018-06-29,-0.015005023389309907
2018-07-31,0.03267522465963138
2018-08-31,-0.013404081421759653
2018-09-28,-0.005385990323256796
2018-10-31,-0.0793894029651981
2018-11-30,-0.005334632156400079
2018-12-31,-0.04847190828538478
2019-01-31,0.06883552212111117
2019-02-28,0.018697161999065584
2019-03-29,-0.0022314075690549754
2019-04-30,0.02944630147461054
2019-05-31,-0.04756653190769007
2019-06-28,0.0594874640162958
2019-07-31,-0.0048971316716280335
2019-08-30,-0.003996619752644268
2019-09-30,0.016847719252239362
2019-10-31,0.040408330871087195
2019-11-29,0.015625427257456852
2019-12-31,0.034281609795040455
2020-01-31,-0.010795308493698324
2020-02-28,-0.1104574722129953
2020-03-31,-0.14587185503361141
2020-04-30,0.08960653052432593
2020-05-29,0.03637066241329097
2020-06-30,0.029286716449183535
2020-07-31,0.037166683286873295
2020-08-31,0.042360602067240766
2020-09-30,-0.03791755963714411
2020-10-30,-0.04635251263084677
2020-11-30,0.18110368554245737
2020-12-31,0.06503861138631035
2021-01-29,0.002992261815408636
2021-02-26,0.006698813450482552
2021-03-31,0.028214396494836813
2021-04-30,0.050351501797091545
2021-05-31,0.04063503862615001
2021-06-30,-0.019320691094363136
2021-07-30,0.020904009251116597
2021-08-31,0.021495055554241145
2021-09-30,-0.06400117069892428
2021-10-29,0.021817480829041842
2021-11-30,-0.04502455586668609
2021-12-31,0.04569026566941428
2022-01-31,-0.03832075102056776
2022-02-28,-0.028658405769849283
2022-03-31,-0.006250364562816633
2022-04-29,-0.05524295870288208
2022-05-31,-0.007799362531732118
2022-06-30,-0.08522744162307058
2022-07-29,0.03790660145371581
2022-08-31,-0.056714755039252884
2022-09-30,-0.08830100451903312
2022-10-31,0.058957941850337967
2022-11-30,0.07805109351855757
2022-12-30,0.014422853960865019
2023-01-31,0.08497580672386235
2023-02-28,0.005642909961653069
2023-03-31,-0.008310709401838777
2023-04-28,0.028452739461030996
2023-05-31,-0.05715832902300044
2023-06-30,0.04318904727731172
2023-07-31,0.05058650179745772
2023-08-31,-0.03628352175063676
2023-09-29,-0.04418933090688732
2023-10-31,-0.04360618922258814
2023-11-30,0.09874566672504298
2023-12-29,0.07181794584693409
2024-01-31,0.002015898398785968
2024-02-29,-0.016670899032068025
2024-03-29,0.031022394091731735
2024-04-30,-0.0008973528718542833
2024-05-31,0.05647004590035662
2024-06-28,-0.01657795469742617
2024-07-31,0.03170674862543348
2024-08-30,0.04462630081392578
2024-09-30,-0.009581184670289488
2024-10-31,-0.07165489728074662
2024-11-29,-0.03156183413603306
2024-12-31,-0.031439320490762084
2025-01-31,
