,Portfolio,Annualized Return,Volatility,Sharpe Ratio,Avg Carbon Footprint
0,Minimum Variance,0.07546453747696646,0.1627961621088674,0.4635523129009683,313.7083016476497
1,Value-Weighted,0.06960471653406675,0.15316030682656934,0.45445662767497236,154.85051887372327
2,MV Carbon-Constrained,0.06398381437585132,0.15560264590744569,0.41120004099358093,39.12326662778041
3,VW Carbon-Constrained,0.06960177945299773,0.1510795933867368,0.4606960999347516,39.60223716054542
4,Net Zero,0.06985288585447802,0.1486587722413755,0.4698874126382445,64.1764328371145
