,Annual Return (%),Annual Volatility (%),Sharpe Ratio,Min Return (%),Max Return (%)
Minimum Variance,1.3,15.08,0.09,-12.4,14.58
Value-Weighted,5.25,16.54,0.32,-14.84,18.14
